,dataHoraInicio,partido,id_deputado,deputado,transcricao
0,2019-02-01T18:56,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Sem revisão do orador.) - Sr. Presidente, Sras. e Srs. Deputados desta Casa, primeiro quero dizer do meu orgulho de estar representando aqui a bancada do PSOL - Partido Socialismo e Liberdade, e com o apoio, que me orgulha muito, do Partido dos Trabalhadores, maior bancada desta Casa, e da Rede Sustentabilidade.
A REDE tem uma Deputada, a Deputada Joenia Wapichana. É apenas uma Deputada, mas eu não a trocaria por bancadas inteiras, porque é a primeira mulher indígena eleita para esta Casa (palmas), num momento em que um Governo absolutamente autoritário quer que a demarcação de terra indígena seja feita pelo latifúndio, um Governo que não tem consciência histórica, um Governo que age contra as minorias e que não tem qualquer compromisso com a democracia. Portanto, é uma honra tê-la aqui!
E mais, acho que o nosso bloco tem que garantir a Deputada indígena na CCJC, até como instrumento de reparação. É decisivo que isso aconteça. S.Exa. tem todo o meu apoio e o apoio da bancada do PSOL para isso.
Tenho um orgulho imenso de termos conseguido, junto com os companheiros do PT, da REDE e do PSB, que têm candidatura própria - é digna, e é importante que seja apresentada -, formar um bloco dentro deste Parlamento, um bloco verdadeiramente de oposição ao Governo Bolsonaro. Não é um bloco com permissão, é um bloco de oposição. E é um bloco que tem história nas ruas, no qual nos conhecemos há muito tempo.
É importante dizer que nós não estamos unificados na candidatura - três partidos me apoiam -, mas estamos unificados na luta contra um Governo autoritário. Esse bloco é um enorme avanço, talvez a maior vitória. Incomodou muita gente, incomodou muita gente nesta Casa a formação de um bloco verdadeiramente de oposição!
Falo aos meus companheiros do PCdoB e do PDT: infelizmente, não estamos juntos nesse bloco, mas não tenho dúvida de que estaremos juntos nas ruas, estaremos juntos nas lutas e, em breve, poderemos estar juntos de forma mais organizada. Que pena não estarmos neste bloco agora! Não faço aqui a polêmica, porque depois teremos tempo de fraternalmente fazer esse debate, mas não tenho dúvida de onde está a oposição. A oposição está em quem sempre enfrentou o Governo Bolsonaro, ao longo do tempo.
Quero dizer que a democracia está em risco neste País, porque a nossa democracia é frágil. A democracia é frágil, Deputada Benedita da Silva! A democracia é frágil, Deputada Sâmia Bomfim! Nós só tivemos cinco Presidentes que foram eleitos de forma direta e secreta e concluíram o seu mandato. Ao longo de 130 anos de República, apenas cinco Presidentes que foram eleitos de forma direta e secreta, Deputado Vicentinho, concluíram o seu mandato! Isso mostra o grau de fragilidade que nós temos na democracia brasileira. Isso é impressionante! E esta democracia está mais ameaçada agora, quando ganha a eleição para a Presidência alguém que não tem compromisso com a democracia.
Esta Casa tem que responder a isso! Esta Casa tem uma homenagem, logo ali em cima, a Rubens Paiva! Esta Casa não tem homenagem a torturador!(Palmas.)
Esta Casa homenageia Rubens Paiva para que nós tenhamos memória, para que nós não esqueçamos que, em qualquer regime autoritário, o primeiro lugar a ser fechado é o Parlamento. Por isso, o Parlamento não pode deixar de ser independente. O Parlamento não pode ficar agachado ante um Governo autoritário, porque o Parlamento é o primeiro a ser fechado, diante das medidas que este Governo pode vir a tomar.
Que bom que temos a memória de Rubens Paiva sobre nós neste plenário! Nós temos que falar da democracia, porque esta democracia é frágil e nós temos que lutar por ela. O Parlamento tem responsabilidade.
Esta democracia, por exemplo, não consegue garantir a permanência do Deputado Jean Wyllys, ameaçado brutalmente pelo crescimento da intolerância, pelo crescimento da violência, pelo crescimento da homofobia.(Palmas.)
Isso não é, Deputadas e Deputados, uma perda para o PSOL. Isto não é uma perda para a esquerda. Que pena que o pensamento pequeno de alguns comemora um Deputado ser ameaçado e não poder exercer o seu mandato! Isso poderia acontecer com qualquer Deputado e teria que ser lastimado e lamentado por todos. Isso caracteriza a fragilidade da nossa democracia como um todo.
É devido a essa democracia frágil que, depois de 11 meses, nós não tenhamos a solução do caso de Marielle Franco, uma Vereadora da cidade do Rio de Janeiro que foi brutal e covardemente assassinada, e até hoje nós não sabemos quem a matou.(Palmas.)
Foi um grupo político que matou Marielle, todos sabem disso! Foi um grupo político que matou Marielle, um grupo político que tem relações com todas as Casas políticas, inclusive com esta aqui, um grupo político que tem que ser descoberto!
Nós temos que saber quem a matou e por que a matou, porque foi um crime contra a democracia. Esta Casa tem que fortalecer a democracia por esses exemplos. Se Marielle incomodou esse grupo político que foi capaz de matá-la, se não descobrirmos, isso pode acontecer com outro Deputado, que pode não ser de esquerda. Pode acontecer com um juiz, com um promotor, com um jornalista. Por isso é um crime contra a democracia. Não que a vida da Marielle valha mais do que a vida de qualquer outro. É esta democracia em crise o que nós temos que priorizar nesta Casa.
O próximo Presidente desta Casa tem que colocar como pauta fundamental a defesa da democracia. Tem que resgatar a Constituição de 1988, tem que resgatar o espírito da Constituição de 1888 e colocar o enfrentamento à desigualdade social como pauta primeira!
É por isso, senhoras e senhores, que não dá para aceitar que venha para esta Casa uma reforma da Previdência que, por exemplo, fale em idade mínima como se as pessoas vivessem igualmente neste País. É o nono país mais desigual do mundo, o nono país mais desigual do mundo! Os 10% mais pobres do Brasil vivem abaixo da linha da pobreza. É deste País que nós estamos falando. Com esta desigualdade, não há democracia!
A democracia não é um instrumento só para nos dar mandatos: a democracia tem que ser um instrumento para garantir a vida das pessoas. Nós vivemos diante do genocídio da juventude negra. Nós vivemos diante do feminicídio brutal, que cresce a cada momento.
Que bom que nós tivemos o maior crescimento da bancada de mulheres! Chegamos a 77 Deputadas, que é a maior a bancada desta Casa. Nenhum partido tem 77 Deputados, e nós temos 77 mulheres. Espero que sejam priorizadas e que tenham espaço político.(Palmas.)
E este é um compromisso nosso, para que esta Casa seja um lugar para se combater machismo, para se combater feminicídio, para se relacionar mulher com poder, porque é aí que nós enfrentamos o machismo: quando a mulher chega ao poder. Não há outro caminho.
É muito importante nós dialogarmos com os mais novos desta Casa, para dizer que os mais novos não têm que chegar aqui e seguir a sequência do que já vem sendo feito e questionado por muitos de forma digna, mas os mais novos têm que ter espaço. É a maior renovação da Câmara desde 1990. É importante que estes que estão chegando tenham espaço, um espaço de construção. 
Mas esta Casa tem que dar espaço também para a sociedade civil. Esta Casa tem que ampliar a capacidade das audiências públicas, esta Casa tem que ampliar a capacidade da participação popular. E este é o melhor caminho da transparência. Nós temos que ter transparência nesta Casa, que é o grande caminho para enfrentar a corrupção, que é, sim, uma prioridade nossa. Mas nós temos que garantir que a sociedade civil venha para cá e participe. 
Aliás, quero dizer, senhoras e senhores, que, se esta Casa tivesse recebido mais vezes, se tivesse conversado mais vezes com o Movimento dos Atingidos por Barragens, ou se tivesse recebido esse movimento social mais do que recebeu o dono da Vale, talvez nós não estivéssemos hoje contando corpos em Minas Gerais, com a tragédia de Brumadinho.(Palmas.)
Esse é um projeto de desenvolvimento, esse é um modelo de desenvolvimento que não nos interessa: acumula riqueza, acumula terra, acumula poder na mão de poucos.
Olhem a imagem deste Parlamento! Olhem a nossa imagem! Nós temos que garantir que aqueles que não estão aqui, possam vir e possam falar. Este lugar aqui é para o parlar, mas tem que aprender a ouvir. Se não fizermos isso, não teremos democracia aprofundada - e diante do Governo Bolsonaro, diante de um Governo que não reconhece sequer o aquecimento global, o que é um atraso que dá vergonha! Trata-se de um Governo que diz que vai acabar com o ativismo. Este é o País que mais mata ativista no mundo! Nenhum lugar mata mais ativista no mundo, e nós temos um Presidente que diz que vai acabar com o ativismo!
	Portanto, o próximo Presidente desta Casa tem que garantir democracia para dentro, democracia como instrumento principal no diálogo com a sociedade. E transparência, e compromisso com uma luta política que não dependa do Governo, mas dê independência e autonomia a esses Parlamentares.
Para terminar, senhoras e senhores, eu quero dizer que acho ótimo que possamos travar um bom debate de ideias entre conservadores, liberais, socialistas. Aqui há espaço para troca de ideias, não pode é haver espaço para...       
(Desligamento automático do microfone.)
O SR. PRESIDENTE (Gonzaga Patriota. PSB - PE) - V.Exa. terá mais 1 minuto.
O SR. MARCELO FREIXO (PSOL - RJ) - A democracia é, sim, o espaço da diferença. A razão de ser deste Parlamento é que possamos ser diferentes, que possamos pensar diferente, que possamos ter divergências. Isso é saudável. E o Presidente desta Casa tem que garantir às minorias este direito, exatamente por entender o espírito maior da Câmara dos Deputados, o compromisso com a democracia. Não há problema, desde que tenhamos ideias. O problema é quando o fanatismo cresce e ganha espaço, porque o fanatismo quer eliminar a diferença, quer eliminar o outro. Comemora o fim do outro. Nesta Casa, não podemos dar espaço ao fanatismo, porque o fanatismo é a contradição da democracia.
(Palmas prolongadas.)
Temos de ampliar a capacidade da diferença. Temos, sem dúvida alguma, de discutirmos e sentarmos juntos, principalmente com quem é diferente. Sejam bem-vindos os diferentes! Mas para os fanáticos não pode haver espaço nesta Casa, porque contrariam a democracia. O Parlamento é o espaço para a democracia."
0,2019-02-06T18:32,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (Bloco/PSOL - RJ. Pela ordem. Sem revisão do orador.) - Sr. Presidente, Sras. e Srs. Deputados, venho a este plenário para dizer aquilo que eu gostaria de ter dito ao Ministro da Justiça, mas não tive oportunidade porque hoje o Ministro da Justiça se comportou ainda como juiz - e um juiz com determinada linha política, que não escuta a população. Ele veio, falou durante 1 hora, pediu aos Deputados que falassem somente por 1 minuto, dentro da Casa Parlamentar, e, mesmo assim, sorteou os nomes dos Deputados que iam falar. Logo, menos da metade dos Deputados inscritos puderam falar.
Esse não é o melhor caminho para se fazer um debate profundo sobre a segurança pública, não é o melhor caminho para se apresentar um projeto de lei e fazer com que ele possa ser aperfeiçoado. Há determinados temas que não poderiam, inclusive, ser apresentados por meio de projetos de lei; teriam que ser apresentados por PEC - Proposta de Emenda à Constituição. Se há determinada matéria sobre a qual o Supremo tenha que se manifestar, se o Congresso vai mudar a lei para que o Supremo não se manifeste, tem que ser por meio de uma PEC, porque trata de alteração constitucional. Não todo o texto, mas pelo menos uma parte do texto tem que ser por PEC, e não é. Isso deveria ter sido debatido, mas não houve tempo.
E mais: há alguns pontos importantes para se refletir. O texto trata da legítima defesa. Nós já temos na lei a previsão da legítima defesa. Temos na lei, inclusive, a previsão do uso da força por agentes da segurança pública. O problema que nós temos na realidade brasileira não é da ausência de lei para a legitimidade, e sim da falta de investigação e de fiscalização por inúmeros casos de execução sumária, travestidos em atos de legítima defesa. É disso que se trata.
Nós já temos a polícia que mais mata e a que mais morre no mundo, por uma concepção insana de segurança pública. Os números são assustadores. No Rio de Janeiro, a polícia mata três pessoas por dia - três pessoas por dia! Qual a polícia do mundo mata três pessoas por dia? Em que lugar do mundo morre um policial a cada 2 dias? Essa é uma média insana. Ao invés de se tratar disso, cria-se um elemento subjetivo para falar de medo e de forte emoção que justifique a legítima defesa. Fala-se em forte emoção, e não é só dos agentes de segurança.
Às Deputadas mulheres, nossas companheiras aqui, eu pergunto: um marido enciumado pode agir sob forte emoção e matar a sua mulher? Essa é uma defesa que nós vamos aceitar? Este é um país campeão de feminicídio, de violência doméstica. Forte emoção é um argumento subjetivo. Não se deveria estar tratando de algo tão sério, sem um debate profundo, sem ouvir a sociedade.
Outro ponto polêmico trata de milícia. Ele fala que a milícia é uma organização criminosa. Claro que a milícia é uma organização criminosa, mas ele lista as facções do tráfico como se a milícia fosse mais uma facção e não é. E isso não é apenas um erro conceitual, porque tem consequência na lei, tem consequência na realidade.
Todas as facções citadas nascem no cárcere. Todas as facções do tráfico nascem no cárcere. Nenhuma milícia nasceu no cárcere. O tráfico de drogas é o Estado paralelo; a milícia é o Estado leiloado. A milícia acontece por relações políticas de poder. Nenhuma milícia está dentro do cárcere, controlando o cárcere ou se alimentando disso. Ela está nas relações de poder. Para a milícia ser enfrentada, tem que haver serviço de inteligência, e não há nenhuma previsão para isso.
Então, o texto carece de mais debate, de mais humildade, por parte da base do Governo e do Ministro. Espero que ele leia o relatório da CPI das Milícias, porque tem gente por aí defendendo a legalização delas."
0,2019-02-12T17:56,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Sem revisão do orador.) - Sr. Presidente, quero agradecer à Deputada Erika Kokay por ceder o tempo de defesa da manutenção do debate.
Este debate é extremamente importante. A Casa está lotada, Presidente. É evidente que não é um debate simples. Então, não há sentido a pressa em votar algo de que nós não poderemos, depois, nos arrepender, porque isso pode gerar uma mudança muito significativa. É importante prestar atenção aos argumentos de todos os lados.
É claro que este País vive uma grave crise na segurança pública - isso é inconteste. Mas desde quando essa lei que supostamente está tratando de terrorismo, através do Conselho de Segurança da ONU, vai resolver o problema do Ceará? Quem pode em sã consciência, quem pode, na plena honestidade, dizer que acredita nisso? É o Conselho de Segurança que vai resolver o problema do Ceará, que vai resolver o problema do Rio de Janeiro? É evidente que não! Sabemos que não! É um jogo de cena, na verdade, para afirmar o que está supostamente escondido, mas nem escondido está; isso apareceu em diversas falas de quem sustenta esse projeto. É claro que, se tivéssemos um histórico profundo de ação terrorista, estaríamos discutindo isso em outro patamar. Mas, não, temos um grave problema de segurança pública. São coisas completamente distintas, são medidas distintas. Imaginar que o Conselho de Segurança da ONU pode dar ao Executivo um poder que cabe hoje ao Judiciário, na verdade é o Ministro Moro querendo ser Ministro e juiz ao mesmo tempo. Temos que avisar que não pode. Ele fez uma escolha para ser Ministro, não pode usurpar do Judiciário o que cabe ao Judiciário. Não pode pular isso, porque é uma afronta à democracia. Isso fragiliza a democracia brasileira, coloca que autoridades internacionais podem agir diretamente sobre o Brasil sem garantias de defesa a quem está sendo atingido.
É grave o projeto! 
Nós temos hoje, sim, uma ameaça à democracia brasileira. Nós estamos vendo populações vulneráveis num Governo que não tem qualquer compromisso com a democracia: populações indígenas, populações quilombolas. Nós estamos vendo o que está acontecendo.
Quando se diz que um simples inquérito - e esta é a essência do projeto -, seja da Polícia Federal, seja do Ministério Público Federal, pode gerar uma denúncia de terrorismo sobre algum movimento, sobre alguma organização ou sobre alguma pessoa, este é o caminho para criminalizar o que nós chamamos de movimentos sociais, que são decisivos para qualquer democracia no mundo. Foi o Presidente Jair Bolsonaro que, ao ganhar a eleição, disse que iria acabar com o ativismo no Brasil! Este é o projeto que dialoga com o seu desejo de acabar com o ativismo no Brasil. O Brasil já é o país que mais mata ativista no mundo...
(Desligamento automático do microfone.)"
0,2019-02-12T19:08,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Pela ordem. Sem revisão do orador.) - Presidente, na base do argumento, queremos defender que o art. 6º realmente é um artigo em que nenhum país do mundo se submete às decisões do Conselho de Segurança da ONU que interfira mudando seus procedimentos internos.
Então, utilizando deste argumento, pedimos evidentemente o voto ""não"" ao destaque por entender que processo sigiloso não deve ser quebrado e existe, sim, uma questão de soberania nacional.
O voto é ""não""."
0,2019-02-13T16:48,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Pela ordem. Sem revisão do orador.) - Sr. Presidente, a parte positiva deste projeto, que seria a regularização fundiária - e temos a responsabilidade republicana de dizer que há parte positiva -, é anulada pela falta de transparência. Não estou nem falando dos jabutis que dizem respeito à questão ambiental, que V.Exa. já garantiu que podem ser retirados. Mas há falta de transparência quando fala de doação de terreno para setores religiosos sem licitação e também para entidades esportivas que não se sabe previamente quais são. Lamentavelmente, a parte positiva do projeto é anulada pela falta de transparência.
Foi do lado da exigência de transparência que o PSOL sempre esteve, diferentemente dos laranjais que se espalham por aí.
Encaminhamos o voto ""não""."
0,2019-02-13T17:36,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Pela ordem. Sem revisão do orador.) - Sr. Presidente, um projeto de gestão de imóveis da União, quando vem para esta Casa, começa a flexibilizar terrenos da Marinha e reduzir áreas de proteção ambiental de lugares importantes. É evidente que houve uma piora e uma irresponsabilidade. É a primeira vez que se tem um jabuti antiecológico nesta Casa. É evidente que nós vamos defender a preferência.
Quanto à citação da Deputada do PSL, do ""Partido Só Laranja"" - se laranja incomoda muito, pode chamar de lima-da-pérsia, que é com a letra L também -, vocês têm que se dirigir ao Presidente do PSL, porque não foi ninguém da Esquerda que disse que política não é coisa de mulher.
A inquietação, a irritação é legitima, mas está dirigida às pessoas erradas. Quem foi ofensivo com as mulheres do Parlamento no Brasil foi o Presidente do PSL. Dirijam-se a ele, pois é ele quem deve explicação."
0,2019-02-19T16:28,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Pela ordem. Sem revisão do orador.) - Sr. Presidente, é muito grave a informação que começa a circular de que o Sr. Gustavo Bebianno sofre, neste momento, diversas ameaças de morte. Isso é muito grave e não deve separar o interesse no assunto entre direita e esquerda, quem é Governo e quem não é.
Independentemente da posição do Sr. Bebianno, é grave que ele receba, neste momento, ameaça de morte. Acho que o Ministro Sergio Moro deveria garantir a proteção do ex-Secretário do Presidente da República sobre essas ameaças.
Digo mais: claramente não foi o Sr. Bebianno quem mentiu. Afinal de contas, ele entrou em contato com o Presidente da República. Aliás, o fruto da sua conversa com o Presidente da República é muito grave, inclusive, por acusar um Deputado desta Casa de ter comandado e ser o responsável pelas nomeações e pela denúncia dos laranjas de Pernambuco, e não ele, que era interino no PSL. Esse era o conteúdo da conversa.
É grave a ameaça de morte ao Sr. Bebianno, assim como é grave o conteúdo da sua conversa, revelada hoje, com o Presidente da República."
0,2019-02-19T17:12,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Sem revisão do orador.) - Sra. Presidente, senhores e senhoras, primeiro, gostaria de dizer que o PSOL tem apensado a esse projeto também um PDL de mesmo conteúdo, porque é inaceitável, Deputados, que em pleno século XXI, neste momento, depois de tudo por que passamos no primeiro mês de Governo, venha por decreto a ideia de acabar com a transparência.
Não adianta vir para cá, subir no plenário e dizer que não é bem assim. É só ler. A lei determinava que apenas Presidente, Vice-Presidente, Ministros, chefes militares poderiam determinar um documento secreto. Este decreto do Governo Bolsonaro, do Governo do PSL, está permitindo que diversas autoridades, inclusive os comissionados sem vínculo direto com o Estado, possam definir o caráter ultrassecreto por até 25 anos de um documento público. É isso que o PSL está propondo. É um escândalo, senhores! Não adianta dizer que não. É uma afronta à democracia, não há outro nome.
Aliás, não surpreende nem um pouco que um Presidente que diz ter saudade da ditadura não tenha apreço pela democracia. Ser contra a possibilidade de informação pública é um retrocesso brutal. Os requerimentos de informação e a transparência são defendidos hoje em movimentos democráticos do mundo inteiro.
Está aí a transparência internacional visitando cada gabinete e cada Liderança partidária, promovendo iniciativas que possam ampliar a transparência e a capacidade de participação da população.
Essa é a melhor resposta que esta Casa tem que dar à enorme crise de representatividade, à enorme crise de democracia que vivemos em 1 mês de governo. Esse é símbolo é de um governo mergulhado em denúncias de corrupção, um governo mergulhado em demissões com apenas 50 dias.
Hoje vazou a conversa do Sr. Bebianno com o Presidente Bolsonaro. Quem mentiu não foi o Bebianno. Quem mentiu foi o Presidente Bolsonaro e seu filho. O conteúdo é gravíssimo, mostra um laranjal, envolvendo inclusive Deputado desta Casa. É muito sério. E aí o decreto vem dizer que se tem que cancelar transparência. Imaginem! Um cargo comissionado pode decretar um documento secreto. É o interesse de quem que está sendo defendido? Estão perdendo aqui mostrando que são contrários. Perderam essa votação como estão perdendo apoio popular. Não há mais entusiasmo em tão pouco tempo de governo. É uma afronta à democracia e será derrotado. Será mais uma derrota da tirania nesta Casa."
0,2019-02-19T18:20,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o PSOL está votando favoravelmente a este destaque contrário ao chamado cadastro positivo. Eu queria ler o comentário de um Deputado na legislatura passada, Deputado Glauber, que diz o seguinte: ""Não existe no projeto garantia quanto ao sigilo de dados e à privacidade de informações pessoais"". Sabem de quem é esta frase? É do Deputado Jair Bolsonaro, que na legislatura passada votou de forma contrária ao cadastro, mas, agora, como este Governo precisa agradar aos bancos, como este Governo precisa agradar a um setor financeiro poderoso, parece que os que o seguem não seguem aquilo que ele dizia, mudaram de opinião. Não é uma nova política, é algo antigo, privilegiando aqueles antigos privilegiados.
Por isso, o PSOL é contra o cadastro positivo."
0,2019-02-20T18:48,PSOL,76874,Marcelo Freixo,"O SR. MARCELO FREIXO (PSOL - RJ. Pela ordem. Sem revisão do orador.) - Sr. Presidente, V.Exa. conhece muito bem o Chile. E V.Exa. sabe que no Chile a proposta de reforma da Previdência de capitalização foi feita pelo Pinochet.
E os resultados aparecem agora: mais de 90% dos aposentados estão recebendo abaixo do salário mínimo, depois de terem contribuído com mais 10% do seu salário. É uma vergonha dizer que essa proposta apresentada hoje é para combater privilégios! Olha o Benefício de Prestação Continuada, que atinge os idosos pobres. Por esta mudança, só com 70 anos receberão o salário mínimo completo. Essa maldade está no texto apresentado pelo Bolsonaro e defendido aqui pela base do Governo. E vêm dizer que é para combater privilégio?
Olha o que estão fazendo com os professores. E falo como professor. Como podem exigir que professores e professoras tenham 30 anos em sala de aula?"
