,dataHoraInicio,partido,id_deputado,deputado,transcricao
0,2020-06-17T18:52,NOVO,204528,Adriana Ventura,"A SRA. ADRIANA VENTURA (NOVO - SP. Pela ordem. Sem revisão da oradora.) - O NOVO orienta ""sim"" ao destaque da Deputada Soraya Santos, uma vez que melhora o fluxo das empresas, e o objetivo realmente é beneficiar as empresas que tiveram que ser paralisadas nesse período."
0,2020-06-17T19:36,PDT,178835,Afonso Motta,"O SR. AFONSO MOTTA (PDT - RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, Sras. e Srs. Parlamentares, agradeço ao Líder Wolney por me permitir fazer esta manifestação, dizendo que o futebol, que está no imaginário popular, representa, muito mais que isso, um patrimônio nacional, com a participação dos nossos clubes nas competições nacionais e internacionais, com tudo o que significa o futebol amador. Por isso, é muito justa esta iniciativa. Cumprimento o Relator, o Deputado Aro. 
No Rio Grande do Sul, nós temos o Grêmio Internacional, mas, na verdade, este é um patrimônio de todos os clubes nacionais.
Por isso, o PDT vota ""sim""."
0,2020-06-17T19:52,PDT,178835,Afonso Motta,"O SR. AFONSO MOTTA (PDT - RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, Sras. e Srs. Deputados, o PDT tem uma tradição trabalhista e, é claro, deseja dar a sua contribuição. Nesse sentido foi a sua manifestação inicial com relação à importância e ao significado dos clubes brasileiros. Mas, neste caso, nós vamos votar ""sim"", a favor do destaque apresentado."
0,2020-06-17T20:08,PDT,178835,Afonso Motta,"O SR. AFONSO MOTTA (PDT - RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o PDT é a favor da reabertura do prazo para adesão. É uma regulação complementar importante o que fazemos neste momento.
Vários clubes, sem dúvida nenhuma, não aderiram no primeiro momento e agora, diante da pandemia, veem a sua situação econômica comprometida, os seus compromissos agravados. Por isso, é justo o pleito. Inclusive eu tenho certeza de que essa equiparação seria alcançada por outros meios.
Portanto, é muito justo que essa reabertura de prazo para adesão seja aprovada.
O PDT vota ""sim"", Sr. Presidente."
0,2020-06-17T20:32,PDT,178835,Afonso Motta,"O SR. AFONSO MOTTA (PDT - RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o destaque é supressivo. Portanto, ele alcança não só o Fundo de Garantia do Tempo de Serviço, mas também a contribuição para o INSS.
É claro que a perspectiva de alcançar toda a coletividade dos atletas profissionais sensibiliza o PDT. Por isso, nós vamos votar a favor do destaque. O nosso voto é ""não""."
0,2020-06-17T20:48,PDT,178835,Afonso Motta,"O SR. AFONSO MOTTA (PDT - RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o PDT acha oportuno tratar desta matéria da gestão temerária. Até mesmo pela circunstância geral da pandemia, da calamidade, esta é uma oportunidade de fortalecer e valorizar as responsabilidades da gestão. Por isso, o PDT vai votar ""não"", Sr. Presidente."
0,2020-06-17T18:36,MDB,160559,Alceu Moreira,"O SR. ALCEU MOREIRA (Bloco/MDB - RS. Pela ordem. Sem revisão do orador.) - Sr. Presidente, Srs. Parlamentares, o Plano Safra é sempre extremamente complexo. E ele já é complexo por natureza, em virtude da necessidade multilateral que tem o corpo do agro inteiro para ser financiado.
Imaginem votar o Plano Safra num período de pandemia, tendo que, com todo o ajuste fiscal do Governo, buscar recursos para ampliar o volume financiado e reduzir as taxas de juros!?
Foi um exercício bastante complicado - muito complicado! Mas, ao fim e ao cabo, conseguimos; com a competência da nossa querida Ministra Tereza Cristina; com o ambiente que o Ministério da Economia nos deu para podermos trabalhar os números e negociar; com a participação dos meus queridos companheiros da Frente Parlamentar da Agricultura, que se dedicaram de corpo e alma para trabalhar soluções possíveis nesse processo.
É bom que se deixe claro, Presidente, o Plano Safra nunca está à altura do que o produtor deseja. Ele sempre quer muito mais. No sistema de crédito amargo que nós temos, o banco de balcão, pelo valor do spread bancário, cobra sempre um juro muito elevado. Mas essas foram as melhores taxas que nós podíamos conseguir neste momento.
Portanto, eu quero parabenizar o Governo Bolsonaro por, neste momento, conseguir fazer um Plano Safra dessa natureza. Quero parabenizar Eduardo Sampaio e todos os diretores, o pessoal da economia, o pessoal do Banco Central e, principalmente, os meus queridos colegas da Frente Parlamentar da Agricultura por terem nos dado a honra de liderar, neste momento tão difícil, esse setor da economia, que sairá da COVID-19 com o pé no acelerador, porque nunca o tirou.
Nós aumentamos a nossa produção. Aumentamos, neste trimestre, em 17% a nossa exportação, em comparação com o trimestre do ano passado. Nós produzimos a maior safra de soja de todos os tempos. Não levaremos 10 anos para ser o maior produtor de milho do mundo também. Nós alimentaremos 2 bilhões de pessoas! Esse é o nosso destino!
Não haverá, concluindo, meu Presidente, nenhum fórum de debate no mundo em que se for discutir segurança alimentar que não tenha uma cadeira reservada ao Brasil. Ninguém poderá discutir a segurança alimentar dos seus povos, em qualquer País do mundo, sem ouvir o Brasil.
Podemos dizer que o ativo chamado segurança alimentar é a nossa participação política no cenário mundial, e é tão importante como o petróleo para a Arábia Saudita.
Obrigado."
0,2020-06-18T17:56,PSB,160511,Alessandro Molon,"O SR. ALESSANDRO MOLON (PSB - RJ. Como Líder. Sem revisão do orador.) - Sr. Presidente, Deputado Marcos Pereira, a quem cumprimento, assim como todos os Parlamentares, os Líderes que acompanham e trabalham nesta sessão.
Faço um agradecimento especial ao querido Deputado Elias Vaz, 1º Vice-Líder da bancada do PSB, que tão bem tem coordenado os nossos trabalhos no plenário da Casa todas às vezes, por razões também ligadas à Liderança do PSB e da bancada, em que não posso coordená-la pessoalmente.
Deputado Elias Vaz, a V.Exa. o nosso reconhecimento, o nosso muito obrigado por toda dedicação, atenção, competência, zelo e habilidade que V.Exa. tem demonstrado, o que para nós, do PSB, não é nenhuma surpresa. V.Exa. é um excelente Parlamentar que Goiás resolveu presentear o Brasil através da sua eleição.
Sr. Presidente, compreendo a preocupação do Deputado que me antecedeu, mas seria muito estranho que esta Casa não tratasse na sua sessão do fato mais grave do dia de hoje. Não me refiro à prisão de Queiroz, já há muito aguardada por todo o País. Refiro-me ao fato de ele ter sido encontrado escondido na casa do advogado pessoal do Presidente da República.
 Seria possível alguém imaginar algo mais grave do que isso? Talvez só se ele estivesse escondido dentro do Palácio da Alvorada. Talvez fosse a única hipótese mais grave do que essa.
Não tendo ele sido encontrado no Palácio da alvorada, a segunda hipótese mais grave seria encontrá-lo na casa de alguém que não deixasse a menor dúvida de que Bolsonaro tinha conhecimento. Será que alguém aqui poderia imaginar, será que seria razoável imaginar que o advogado pessoal de Bolsonaro esconderia aquele que Bolsonaro mesmo chamou de ""seu soldado""; aquele que pagava contas familiares de Bolsonaro, como as matérias de hoje revelam; aquele que depositou dinheiro na conta da Primeira-Dama, num empréstimo até hoje não explicado para o País? Que empréstimo é esse em que o dinheiro só vai de um lado para o outro e não volta? É muito estranho tudo isso!
E essa figura estava escondida na casa do advogado pessoal de Bolsonaro?! O Ministério Público do Rio de Janeiro procurando, o País inteiro procurando, e era lá que ele se escondia?! Isso mostra que o Presidente da República está envolvido até o pescoço nessa história, Sr. Presidente.
E, mais do que isso, Queiroz foi preso com provas cabais de corrupção, e o Presidente, tão falante  todo dia faz questão de parar na porta do Palácio do Alvorada para atacar jornalistas, para ameaçar a Nação, para ser agressivo com os outros Poderes, para agitar a bandeira da intervenção militar, do fim da democracia , hoje não falou na saída do Alvorada. Preferiu calar-se. Esse mesmo Presidente se calou a respeito dos ataques contra o Supremo. Esse mesmo Presidente se cala todas as vezes em que não tem explicação para os fatos.
O que será descoberto, Sr. Presidente, serão as razões do enriquecimento ilícito da família Bolsonaro, enriquecimento sem causa, multiplicação patrimonial sem qualquer explicação razoável. Não há loja de chocolates que permita tamanha pujança no crescimento patrimonial.
O País aguarda essas explicações, e isso agrava muito a crise política. Isso mostra que a justiça começa a ser feita. Todos têm que responder à lei.
Aliás, é para fugir da Justiça também que vai para outro país o Ministro da Educação, ou melhor, o ex-Ministro da Educação, o pior Ministro da Educação de todos os tempos  não por sua incompetência, apenas, porque, infelizmente, o Brasil já teve outros Ministros incompetentes, mas nenhum foi tão destrutivo quanto Weintraub, cujo último ato foi tentar acabar com as cotas na pós-graduação brasileira. Esse foi um ataque frontal às políticas afirmativas, à tentativa de reparação a uma larga fatia da população, majoritária, esquecida durante séculos! Weintraub vai para outro país apenas para fugir do Supremo, diante do qual se calou sobre as acusações de racismo.
Este é um Governo que foge da Justiça, que foge do Judiciário, que esconde criminosos, que usa cargos públicos, ou cargos em organismos internacionais, como é o caso do cargo no Banco Mundial, para tirar as pessoas do alcance dos juízes!
Bolsonaro é um Presidente que não se preocupa com o País, que não cuida da saúde da população, dos empregos, da educação. É um Presidente que só cuida de proteger da polícia os seus familiares e aliados!
É um Presidente que está enredado por uma organização criminosa no seu entorno, cujos membros faz questão de proteger até o final.
Mas a justiça começa a ser feita. Finalmente, Queiroz foi encontrado. A sua filha, ao que tudo indica por uma nota, teria mandado uma mensagem de que falará o que tiver que falar para proteger seus pais. A mulher de Queiroz continua foragida.
O que o Brasil descobrirá a partir desses relatos, desses depoimentos, dessas delações? Muita coisa precisa ser revelada, Presidente, caros colegas. O Brasil ainda precisa saber de muitas coisas. E pouco a pouco a máscara vai caindo, e o povo brasileiro vai descobrindo que foi enganado  antes tarde do que nunca.
Muito obrigado, Sr. Presidente, Sras. e Srs. Deputados."
0,2020-06-17T16:32,DEM,160545,Alexandre Leite,"O SR. ALEXANDRE LEITE (Bloco/DEM - SP. Como Líder. Sem revisão do orador.) - Sr. Presidente, quero aproveitar para somar o tempo de Líder e, ao final da minha fala, compartilhar o tempo com o Deputado Luis Miranda.
Vou ser bem direto quanto à orientação, Sr. Presidente. O Democratas orienta o voto ""não"".
Tenho dois pedidos a V.Exa., Presidente Rodrigo Maia. Um é o de pautar o Projeto de Lei nº 2.801, de 2020, que dá caráter alimentar ao auxílio emergencial. Daqui a pouco o auxílio acaba, e talvez se prorrogue ou não, mas daqui a pouco acaba, e nós ainda não conseguimos acabar com a possibilidade da penhora judicial do auxílio emergencial para pagamento de dívidas.
A segunda demanda, Presidente, vem na esteira dos acontecimentos dos últimos dias com relação ao inquérito das fake news. Isso tem gerado muita polêmica e algumas representações no Conselho de Ética, do qual eu sou membro.
No Conselho de Ética, lembro eu, Sr. Presidente, nós temos um mandato de 2 anos. Neste ano, a nossa pauta está sobrecarregada. Antes mesmo da pandemia, nós tínhamos uma pauta sobrecarregada. Muitos Parlamentares que já estão com parecer pronto para votação na pauta do Conselho de Ética já têm nova representação para ser relatada.
Portanto, o pedido que eu faço a V.Exa. é que estude um meio de o Conselho de Ética voltar a se reunir, ou que este mandato do Conselho de Ética possa se estender de alguma forma, a fim de que esses relatórios não tenham sido feitos em vão. Eu mesmo tive um relatório que estava com recurso na CCJC e tenho outro relatório pronto para a pauta no Conselho de Ética. É um trabalho exímio dos Deputados que se dedicam no Conselho de Ética e que está se perdendo com o tempo. 
Ao mesmo tempo, nós não podemos dar à sociedade uma sensação de insegurança. Eu já disse isso no Conselho de Ética e repito aqui a V.Exa.: o único instituto que tem bala de prata a perfurar a blindagem da imunidade parlamentar é o Conselho de Ética, e o Conselho de Ética não pode passar à sociedade brasileira a sensação de impunidade, ou de coleguismo, ou de corporativismo parlamentar.
Portanto, Sr. Presidente, com esse intuito, eu peço a V.Exa. que estude com os membros da Mesa um meio de o mandato do Conselho de Ética se estender; ou que o Conselho possa, de alguma forma, virtualmente ou em sessão reduzida, trabalhar e dar resposta à sociedade brasileira e à própria Câmara dos Deputados. Que não fique sem dar o retorno ou a resposta que a sociedade espera quanto às acusações e às representações que constam da pauta do Conselho de Ética da Câmara dos Deputados.
O restante do tempo, os últimos 3 minutos, eu concedo ao Deputado Luis Miranda.
Obrigado, Presidente."
0,2020-06-17T18:24,DEM,160545,Alexandre Leite,"O SR. ALEXANDRE LEITE (Bloco/DEM - SP. Pela ordem. Sem revisão do orador.) - Sr. Presidente, o destaque do PSOL vem na contramão da crise de saúde que o Brasil vive. Nós vivemos uma guerra contra um vírus, e os nossos soldados são os profissionais de saúde, que estão na linha de frente do combate.
Pelo menos durante o período que perdurar a pandemia, nós vemos como satisfatória a flexibilização da jornada de trabalho.
O Democratas vota ""sim"" ao texto e ""não"" ao destaque."
